a	aː
grafarholt	k r aː v a r h ɔ l̥ t
grafarháls	k r aː v a r h au l s
grafarhóll	k r aː v a r h ou t l̥
grafarhólskompur	k r aː v a r h ou l s k ɔ m̥ p ʏ r
grafarinnar	k r aː v a r ɪ n a r
grafarkirkja	k r aː v a r c ɪ r̥ c a
grafarklauf	k r aː v a r k l œyː v
grafarkot	k r aː v a r k ɔ t
grafarkoti	k r aː v a r k ɔ t ɪ
grafarlækur	k r aː v a r l aiː k ʏ r
grafarlönd	k r aː v a r l œ n t
grafarmelur	k r aː v a r m ɛː l ʏ r
grafarmór	k r aː v a r m ouː r
grafarmýrarlækur	k r aː v a r m i r a r l aiː k ʏ r
grafarnes	k r aː v a r n ɛ s
grafarræningjar	k r aː v a r aiː n i ɲ c a r
grafarsiðum	k r aː v a r s ɪː ð ʏ m
grafarskurður	k r aː v a r s k ʏ r ð ʏ r
grafarskál	k r aː v a r s k auː l
grafarteigsskurður	k r aː v a r tʰ ei x s k ʏ r ð ʏ r
grafarteigur	k r aː v a r tʰ eiː ɣ ʏ r
grafartungur	k r aː v a r tʰ u ŋ k ʏ r
grafarvað	k r aː v a r v a ð
grafarvogi	k r aː v a r v ɔi j ɪ
grafarvoginum	k r aː v a r v ɔi j ɪ n ʏ m
grafarvogsbúa	k r aː v a r v ɔ x s p uː a
grafarás	k r aː v a r auː s
grafarþögn	k r aː v a r θ œ k n̥
grafast	k r aː v a s t
grafhvelfingu	k r aː v kʰ v ɛ l v i ŋ k ʏ
grafhýsi	k r aː v h i s ɪ
grafhýsinu	k r aː v h i s ɪ n ʏ
grafhýsis	k r aː v h i s ɪ s
grafhýsið	k r aː v h i s ɪ ð
grafi	k r aː v ɪ
grafin	k r aː v ɪ n
grafinn	k r aː v ɪ n
grafir	k r aː v ɪ r
grafið	k r aː v ɪ ð
grafkyrr	k r aː f c ɪ r
graflækur	k r aː f l aiː k ʏ r
grafnalækur	k r a p n a l aiː k ʏ r
grafnar	k r a p n a r
grafningsafréttur	k r a v n i ŋ s a f r j ɛ h t ʏ r
grafningsháls	k r a v n i ŋ s h au l s
grafningsland	k r a v n i ŋ s t l a n t
grafningsnes	k r a p n i ŋ k s t n ɛ s
grafningur	k r a p n i ŋ k ʏ r
grafnir	k r a p n ɪ r
grafreiti	k r a v r ei t ɪ
grafreitur	k r a v r ei t ʏ r
grafskrift	k r a f s k r ɪ f t
grafskurður	k r a f s k ʏ r ð ʏ r
graftar	k r a f t a r
graftarmyndun	k r a f t a r m ɪ n t ʏ n
graftól	k r aː f t ou l
grafík	k r aː f i k
grafískur	k r aː f i s k ʏ r
grafít	k r aː f i t
grafítsins	k r aː f i t s ɪ n s
grafönd	k r aː f œ n t
grahams	k r a h aː m s
gralinn	k r aː l ɪ n
grallaralega	k r a t l a r a l ɛ ɣ a
grallaralegt	k r a t l a r a l ɛ x t
grameðlan	k r a m ɛ ð l a n
grameðlu	k r a m ɛ ð l ʏ
grameðlunnar	k r a m ɛ ð l ʏ n a r
grameðlur	k r a m ɛ ð l ʏ r
gramm	k r a m m
grammar	k r a m a r
grammi	k r a m ɪ
gramsaði	k r a m s a ð ɪ
gramur	k r aː m ʏ r
granaholt	k r aː n a h ɔ l̥ t
granastaðanípa	k r aː n a s t aː ð a n iː p a
grand	k r a n t
granda	k r a n t a
grandahorn	k r a n t a h ɔ t n̥
grandalaus	k r a n t a l œyː s
grandalón	k r a n t a l ou n
grandar	k r a n t a r
grandastaðir	k r a n t a s t a ð ɪ r
grandað	k r a n t a ð
grandfather	k r a n t f a t ɛ r
grandskoðar	k r a n t s k ɔː ð a r
grandskoðum	k r a n t s k ɔː ð ʏ m
granir	k r aː n ɪ r
granirnar	k r aː n ɪ t n a r
granna	k r a n a
grannar	k r a n a r
grannaslag	k r a n a s t l a ɣ
grannfræði	k r a n f r ai ð ɪ
grannholda	k r a n h ɔ l t a
granni	k r a n ɪ
grannir	k r a n ɪ r
grannlönd	k r a n l œ n t
grannmálunum	k r a n̥ m au l ɔ n ʏ m
grannríkja	k r a n r i c a
grannsvæði	k r a n s v ai ð ɪ
grannt	k r a n̥ t
grannur	k r a n ʏ r
grannvaxin	k r a n v a k s ɪ n
grannvaxinn	k r a n v a k s ɪ n
grant	k r a n̥ t
graníti	k r aː n i t ɪ
granófýr	k r aː n ou f iː r
gras	k r aː s
grasa	k r aː s a
grasadalur	k r aː s a t aː l ʏ r
grasafjall	k r aː s a f j a t l̥
grasafjöll	k r aː s a f j œ t l̥
grasaflatir	k r aː s a f l aː t ɪ r
grasafræði	k r aː s a f r ai ð ɪ
grasafræðingum	k r aː s a f r aiː ð i ŋ k ʏ m
grasafræðinnar	k r aː s a f r aiː ð ɪ n a r
grasagata	k r aː s a k a t a
grasagörðum	k r aː s a k œ r ð ʏ m
grasaleitar	k r aː s a l eiː t a r
grasaskál	k r aː s a s k auː l
grasaurar	k r aː s œyː r a r
grasaætt	k r aː s a ai h t
grasbakki	k r aː s p a h c ɪ
grasbala	k r aː s p aː l a
grasbotn	k r aː s p ɔ h t n̥
grasbotnshjalli	k r aː s p ɔ h t n s ç a t l ɪ
grasbrekkur	k r aː s p r ɛ h k ʏ r
grasbít	k r aː s p iː t
grasbíta	k r aː s p iː t a
grasbítar	k r aː s p iː t a r
grasbítur	k r aː s p iː t ʏ r
grasdalsgil	k r a s t a l s c ɪ l
grasdalsás	k r a s t a l s auː s
grasdalur	k r a s t aː l ʏ r
grasey	k r aː s ei
grasflöt	k r aː s f l œ t
grasflötina	k r aː s f l œ t ɪ n a
grasgeiraflói	k r aː s c ei r a f l ouː ɪ
grasgeirahraun	k r aː s c ei r a r̥ œyː n
grasgeirahæðir	k r aː s c ei r a h aiː ð ɪ r
grasgeiri	k r aː s c ei r ɪ
grasgil	k r aː s c ɪ l
grasgiljaegg	k r aː s c ɪ l j a ɛ k
grasgrænu	k r aː s k r ai n ʏ
grashnúta	k r aː s n̥ uː t a
grashólalækur	k r aː s h ou l a l aiː k ʏ r
grashóll	k r aː s h ou t l̥
grashöfði	k r aː s h œ v ð ɪ
grasi	k r aː s ɪ
grasinu	k r aː s ɪ n ʏ
grasið	k r aː s ɪ ð
grasker	k r a s c ɛ r
graskerum	k r a s c ɛ r ʏ m
graslendi	k r a s t l ɛ n t ɪ
grasrótarstarfið	k r aː s r ou t a r s t a r v ɪ ð
grasrótin	k r aː s r ouː t ɪ n
grassléttur	k r a s t l j ɛ h t ʏ r
grassnákur	k r a s t n auː k ʏ r
grassprettu	k r a s p r ɛ h t ʏ
grassverði	k r a s v ɛ r ð ɪ
grastegundir	k r aː s tʰ ɛː ɣ ʏ n t ɪ r
grastegundum	k r aː s tʰ ɛː ɣ ʏ n t ʏ m
grasteigingar	k r a s t ei j i ŋ k a r
grastoppasker	k r a s t ɔ h p a s c ɛ r
grasárgil	k r aː s au r c ɪ l
grasætur	k r aː s aiː t ʏ r
gratt	k r a h t
graut	k r œyː t
grauta	k r œyː t a
grautagerðin	k r œyː t a c ɛ r ð ɪ n
grautar	k r œyː t a r
grautarklettur	k r œyː t a r k l ɛ h t ʏ r
grautarlág	k r œyː t a r l au h
grautarrof	k r œyː t a r ɔː v
grautarsker	k r œyː t a r s c ɛ r
grautarskál	k r œyː t a r s k auː l
grautfúll	k r œy h t f u t l̥
grautfúlt	k r œy h t f u l̥ t
grautinn	k r œyː t ɪ n
grautur	k r œyː t ʏ r
graður	k r a ð ʏ r
greddan	k r ɛ t a n
greek	k r ɛː ɛː k
greftri	k r ɛ f t r ɪ
grefur	k r ɛː v ʏ r
gregor	k r ɛː k ɔ r
gregoríska	k r ɛː k ɔ r i s k a
gregoríus	k r ɛː k ɔ r i j ʏ s
greidd	k r ei t
greiddar	k r ei t a r
greiddi	k r ei t ɪ
greiddir	k r ei t ɪ r
greiddu	k r ei t ʏ
greiddum	k r ei t ʏ m
greiddur	k r ei t ʏ r
greifa	k r eiː v a
greifadæmisins	k r eiː v a t aiː m ɪ s ɪ n s
greifana	k r eiː v a n a
greifans	k r eiː v a n s
greifasebran	k r eiː v a s ɛː p r a n
greifasebri	k r eiː v a s ɛː p r ɪ
greifasebrinn	k r eiː v a s ɛː p r ɪ n
greifi	k r eiː v ɪ
greifingi	k r eiː v i ɲ c ɪ
grein	k r eiː n
greina	k r eiː n a
greinandi	k r eiː n a n t ɪ
greinanlegir	k r eiː n a n l ei j ɪ r
greinanna	k r eiː n a n a
greinar	k r eiː n a r
greinarenda	k r eiː n a r ɛ n t a
greinargerð	k r eiː n a r c ɛ r ð
greinargerða	k r eiː n a r c ɛ r ð a
greinargerðina	k r eiː n a r c ɛ r ð ɪ n a
greinargóða	k r eiː n a r k ou ð a
greinargóðan	k r eiː n a r k ou ð a n
greinargóðar	k r eiː n a r k ou ð a r
greinargóður	k r eiː n a r k ou ð ʏ r
greinarhöfundanna	k r eiː n a r h œː v ʏ n t a n a
greinarhöfundi	k r eiː n a r h œ v ʏ n t ɪ
greinarinnar	k r eiː n a r ɪ n a r
greinarmerki	k r eiː n a r m ɛ r̥ c ɪ
greinarmun	k r eiː n a r m ʏ n
greinarmuni	k r eiː n a r m ʏː n ɪ
greinarmunur	k r eiː n a r m ʏː n ʏ r
greinarnar	k r eiː n a t n a r
greinasafn	k r eiː n a s a p n̥
greinasafni	k r eiː n a s a p n ɪ
greinaskil	k r eiː n a s c ɪ l
greinaskrif	k r eiː n a s k r ɪ v
greinaskrifin	k r eiː n a s k r ɪ v ɪ n
greinast	k r eiː n a s t
greind	k r ei n t
greindar	k r ei n t a r
greindarmælingar	k r ei n t a r m ai l i ŋ k a r
greindarpróf	k r ei n t a r p r ouː v
greindarprófa	k r ei n t a r p r ouː v a
greindarprófum	k r ei n t a r p r ouː v ʏ m
greindarvísitölu	k r ei n t a r v iː s ɪ t œː l ʏ
greindi	k r ei n t ɪ
greindist	k r ei n t ɪ s t
greindu	k r ei n t ʏ
greindum	k r ei n t ʏ m
greindur	k r ei n t ʏ r
greindust	k r ei n t ʏ s t
greini	k r eiː n ɪ
greinileg	k r eiː n ɪ l ɛ ɣ
greinilega	k r eiː n ɪ l ɛ ɣ a
greinilegar	k r eiː n ɪ l ɛ ɣ a r
greinilegri	k r eiː n ɪ l ɛ ɣ r ɪ
greinilegt	k r eiː n ɪ l ɛ x t
greinilegum	k r eiː n ɪ l ɛ ɣ ʏ m
greinilegur	k r eiː n ɪ l ɛ ɣ ʏ r
greinilegustu	k r eiː n ɪ l ɛ ɣ ʏ s t ʏ
greinin	k r eiː n ɪ n
greinina	k r eiː n ɪ n a
greining	k r eiː n i ŋ k
greiningar	k r eiː n i ŋ k a r
greiningarkerfinu	k r eiː n i ŋ k a r̥ cʰ ɛ r v ɪ n ʏ
greiningarreglur	k r eiː n i ŋ k a r ɛ k l ʏ r
greiningartæki	k r eiː n i ŋ k a r t aiː c ɪ
greiningarvélum	k r eiː n i ŋ k a r v j ɛː l ʏ m
greiningin	k r eiː n i ɲ c ɪ n
greiningu	k r eiː n i ŋ k ʏ
greiningunni	k r eiː n i ŋ k ʏ n ɪ
greininni	k r eiː n ɪ n ɪ
greinir	k r eiː n ɪ r
greinirinn	k r eiː n ɪ r ɪ n
greinisins	k r eiː n ɪ s ɪ n s
greinist	k r eiː n ɪ s t
greinst	k r ei n s t
greint	k r ei n̥ t
greinum	k r ei n ʏ m
greinunum	k r eiː n ɔ n ʏ m
greinóttar	k r eiː n ou h t a r
greip	k r eiː p
greipum	k r eiː p ʏ m
greitt	k r ei h t
greið	k r eiː ð
greiða	k r eiː ð a
greiðan	k r eiː ð a n
greiðann	k r eiː ð a n
greiðar	k r eiː ð a r
greiðari	k r eiː ð a r ɪ
greiðasta	k r eiː ð a s t a
greiðfærar	k r ei ð f ai r a r
greiðfærir	k r ei ð f ai r ɪ r
greiðfært	k r ei ð f ai r̥ t
greiði	k r eiː ð ɪ
greiðinn	k r eiː ð ɪ n
greiðir	k r eiː ð ɪ r
greiðlega	k r ei ð l ɛ ɣ a
greiðsla	k r ei ð s t l a
greiðslan	k r ei ð s t l a n
greiðslu	k r ei ð s t l ʏ
greiðslubyrði	k r ei ð s t l ʏ p ɪ r ð ɪ
greiðslukort	k r ei ð s t l ʏ k ɔ r̥ t
greiðslukortum	k r ei ð s t l ʏ kʰ ɔ r̥ t ʏ m
greiðslum	k r ei ð s t l ʏ m
greiðslumiðill	k r ei ð s t l ʏ m ɪ ð ɪ t l̥
greiðslumiðlun	k r ei ð s t l ʏ m ɪ ð l ʏ n
greiðslur	k r ei ð s t l ʏ r
greiðslurnar	k r ei ð s t l ʏ t n a r
greiðsluáætlun	k r ei ð s t l ʏ auː ai h t l ʏ n
greiðsluþrot	k r ei ð s t l ʏ θ r ɔ t
greiðsluþrota	k r ei ð s t l ʏ θ r ɔ t a
greiðu	k r eiː ð ʏ
greiðuna	k r ei ð ʏ n a
greiðvikin	k r ei ð v ɪ c ɪ n
gremja	k r ɛ m j a
gremjan	k r ɛ m j a n
gremjulegur	k r ɛ m j ʏ l ɛ ɣ ʏ r
gremjuleysið	k r ɛ m j ʏ l eiː s ɪ ð
gremjuna	k r ɛ m j ʏ n a
grenada	k r ɛː n a t a
grenadínur	k r ɛː n a t i n ʏ r
grenbollar	k r ɛː n p ɔ t l a r
grenborg	k r ɛː n p ɔ r k
grenbotnar	k r ɛː n p ɔ h t n a r
grenbólsofanferð	k r ɛː n p ou l s ɔː v a n f ɛ r ð
grenbót	k r ɛː n p ou t
grendýra	k r ɛ n t i r a
grenhausar	k r ɛː n h œyː s a r
grenhæðarlækur	k r ɛː n h ai ð a r l aiː k ʏ r
grenhólar	k r ɛː n h ou l a r
greni	k r ɛː n ɪ
grenigrund	k r ɛː n ɪ ɣ r ʏ n t
grenihvammshryggur	k r ɛː n ɪ kʰ v a m s r̥ ɪ k ʏ r
grenisbarmur	k r ɛː n ɪ s p a r m ʏ r
grenisgrjót	k r ɛː n ɪ s k r j ouː t
grenishvammur	k r ɛː n ɪ s kʰ v a m ʏ r
grenisklettar	k r ɛː n ɪ s k l ɛ h t a r
grenisteinn	k r ɛː n ɪ s t ei t n̥
grenitorfur	k r ɛː n ɪ tʰ ɔ r v ʏ r
grenitré	k r ɛː n ɪ t r j ɛː
grenitréð	k r ɛː n ɪ t r j ɛː ð
grenivík	k r ɛː n ɪ v iː k
grenivíkurtungur	k r ɛː n ɪ v iː k ʏ r t u ŋ k ʏ r
grenja	k r ɛ n j a
grenjabrún	k r ɛ n j a p r u n
grenjadalsá	k r ɛ n j a t a l s auː
grenjadokkir	k r ɛ n j a t ɔ h c ɪ r
grenjagil	k r ɛ n j a c ɪ l
grenjagróf	k r ɛ n j a k r ouː v
grenjahraun	k r ɛ n j a r̥ œyː n
grenjahyrna	k r ɛ n j a h ɪ r t n a
grenjandi	k r ɛ n j a n t ɪ
grenjanessviti	k r ɛ n j a n ɛ s v ɪː t ɪ
grenjatindur	k r ɛ n j a t ɪ n t ʏ r
grenjaðarhjallahvolf	k r ɛ n j a ð a r ç a t l̥ a kʰ v ɔ l v
grenjaðarhjalli	k r ɛ n j a ð a r ç a t l ɪ
grenjaðarstaður	k r ɛ n j a ð a r s t a ð ʏ r
grenjuskjóður	k r ɛ n j ʏ s c ouː ð ʏ r
grenjá	k r ɛ n j auː
grenmór	k r ɛː n m ouː r
grennandi	k r ɛ n a n t ɪ
grennast	k r ɛ n a s t
grennd	k r ɛ n t
grenndar	k r ɛ n t a r
grenndargáma	k r ɛ n t a r k au m a
grenndarhópurinn	k r ɛ n t a r h ouː p ʏ r ɪ n
grenndinni	k r ɛ n t ɪ n ɪ
grennri	k r ɛ n r ɪ
grennslast	k r ɛ n s t l a s t
grennst	k r ɛ n s t
grensberg	k r ɛ n s p ɛ r k
grensborgargreni	k r ɛ n s p ɔ r k a r k r ɛː n ɪ
grensbrekkur	k r ɛ n s p r ɛ h k ʏ r
grenshaus	k r ɛ n s h œy s
grenshilla	k r ɛ n s h ɪ t l a
grensholt	k r ɛ n s h ɔ l̥ t
grenshylur	k r ɛ n s h ɪː l ʏ r
grenshóladý	k r ɛ n s h ou l a t i
grenshólaflói	k r ɛ n s h ou l a f l ouː ɪ
grenshóll	k r ɛ n s h ou t l̥
grenstangi	k r ɛ n s t au ɲ c ɪ
grensteinar	k r ɛ n s t ei n a r
grensás	k r ɛ n s auː s
grensásbrekka	k r ɛ n s au s p r ɛ h k a
grensáskirkju	k r ɛ n s auː s c ɪ r̥ c ʏ
grensáskvísl	k r ɛ n s auː s k v i s t l̥
grensássund	k r ɛ n s au s ʏ n t
grensásvatn	k r ɛ n s auː s v a h t n̥
grensásveg	k r ɛ n s auː s v ɛː ɣ
grensöxl	k r ɛ n s œ k s t l̥
grenþúfuás	k r ɛː n θ u v ʏ au s
greppitrýnin	k r ɛ h p ɪ tʰ r iː n ɪ n
greru	k r ɛː r ʏ
gresjubuffal	k r ɛ s j ʏ p ʏ f a l
gresjudýri	k r ɛ s j ʏ t iː r ɪ
gresjufíllinn	k r ɛ s j ʏ f i t l ɪ n
gresjum	k r ɛ s j ʏ m
gresjur	k r ɛ s j ʏ r
gresjurnar	k r ɛ s j ʏ t n a r
gresjuskellunnar	k r ɛ s j ʏ s c ɛ t l ʏ n a r
greta	k r ɛː t a
gretta	k r ɛ h t a
gretti	k r ɛ h t ɪ
grettir	k r ɛ h t ɪ r
grettis	k r ɛ h t ɪ s
grettisbeltið	k r ɛ h t ɪ s p ɛ l̥ t ɪ ð
grettisdóttir	k r ɛ h t ɪ s t ou h t ɪ r
grettisgata	k r ɛ h t ɪ s k a t a
grettisgil	k r ɛ h t ɪ s k ɪː l
grettishæð	k r ɛ h t ɪ s h aiː ð
grettislág	k r ɛ h t ɪ s t l au h
grettisoddi	k r ɛ h t ɪ s ɔ t ɪ
grettissaga	k r ɛ h t ɪ s aː ɣ a
grettisskarð	k r ɛ h t ɪ s k a r ð
grettisstillur	k r ɛ h t ɪ s t ɪ t l ʏ r
grettistak	k r ɛ h t ɪ s t a k
grettistaki	k r ɛ h t ɪ s t a c ɪ
grettistota	k r ɛ h t ɪ s t ɔː t a
grettistóftir	k r ɛ h t ɪ s t ou f t ɪ r
grettisvarða	k r ɛ h t ɪ s v a r ð a
grettu	k r ɛ h t ʏ
grettur	k r ɛ h t ʏ r
grey	k r eiː
greyin	k r ei j ɪ n
greyið	k r ei j ɪ ð
griffith	k r ɪ f ɪ t
grikk	k r ɪ h k
grikki	k r ɪ h c ɪ
grikkinn	k r ɪ h c ɪ n
grikkir	k r ɪ h c ɪ r
grikkja	k r ɪ h c a
grikkjum	k r ɪ h c ʏ m
grikkland	k r ɪ h k l a n t
grikklandi	k r ɪ h k l a n t ɪ
grikklands	k r ɪ h k l a n t s
grikklandsævintýrið	k r ɪ h k l a n t s aiː v ɪ n t iː r ɪ ð
grillað	k r ɪ l a ð
grillaðar	k r ɪ l a ð a r
grillaðir	k r ɪ l a ð ɪ r
grilli	k r ɪ l ɪ
grillir	k r ɪ l ɪ r
grilllykt	k r ɪ l l ɪ x t
grillti	k r ɪ l̥ t ɪ
grillufangarar	k r ɪ l ʏ f au ŋ k a r a r
grillugirðingur	k r ɪ l ʏ c ɪ r ð i ŋ k ʏ r
grillur	k r ɪ t l ʏ r
grimm	k r ɪ m
grimma	k r ɪ m a
grimman	k r ɪ m a n
grimmari	k r ɪ m a r ɪ
grimmastur	k r ɪ m a s t ʏ r
grimmd	k r ɪ m t
grimmdarlega	k r ɪ m t a r l ɛ ɣ a
grimmdin	k r ɪ m t ɪ n
grimmilega	k r ɪ m ɪ l ɛː ɣ a
grimmilegasti	k r ɪ m ɪ l ɛː ɣ a s t ɪ
grimmilegri	k r ɪ m ɪ l ɛ ɣ r ɪ
grimmilegt	k r ɪ m ɪ l ɛ x t
grimminger	k r ɪ m i ŋ ɛ r
grimmir	k r ɪ m ɪ r
grimmsævintýrinu	k r ɪ m s ai v ɪ n t iː r ɪ n ʏ
grimmt	k r ɪ m̥ t
grimmur	k r ɪ m ʏ r
grimmúðlegan	k r ɪ m u ð l ɛ ɣ a n
grind	k r ɪ n t
grindahlaupi	k r ɪ n t a l̥ œyː p ɪ
grindalækur	k r ɪ n t a l aiː k ʏ r
grindarbæli	k r ɪ n t a r p aiː l ɪ
grindargliðnun	k r ɪ n t a r k l ɪ ð n ʏ n
grindargliðnunar	k r ɪ n t a r k l ɪ ð n ʏ n a r
grindarholi	k r ɪ n t a r h ɔ l ɪ
grindarholslíffæri	k r ɪ n t a r h ɔ l s t l i v f ai r ɪ
grindarholslíffærin	k r ɪ n t a r h ɔ l s t l i v f ai r ɪ n
grindarlos	k r ɪ n t a r l ɔː s
grindavík	k r ɪ n t a v iː k
grindavíkur	k r ɪ n t a v iː k ʏ r
grindavíkurbraut	k r ɪ n t a v iː k ʏ r p r œy t
grindavíkurliðsins	k r ɪ n t a v iː k ʏ r l ɪ ð s ɪ n s
grindavíkurvöll	k r ɪ n t a v iː k ʏ r v œ t l̥
grindhvalir	k r ɪ n t k v aː l ɪ r
grindi	k r ɪ n t ɪ
grindinni	k r ɪ n t ɪ n ɪ
grindur	k r ɪ n t ʏ r
grindverk	k r ɪ n t v ɛ r̥ k
grindverkið	k r ɪ n t v ɛ r̥ c ɪ ð
grindvíkinga	k r ɪ n t v i c i ŋ k a
grindvíkingar	k r ɪ n t v i c i ŋ k a r
grindvíkingum	k r ɪ n t v i c i ŋ k ʏ m
grip	k r ɪː p
gripahúsi	k r ɪ p a h uː s ɪ
gripaldi	k r ɪː p a l t ɪ
gripi	k r ɪː p ɪ
gripin	k r ɪː p ɪ n
gripina	k r ɪː p ɪ n a
gripinn	k r ɪː p ɪ n
gripir	k r ɪː p ɪ r
gripið	k r ɪː p ɪ ð
griplur	k r ɪː p l ʏ r
gripnum	k r ɪ h p n ʏ m
griptöng	k r ɪː p t œy ŋ k
gripu	k r ɪː p ʏ
gripum	k r ɪː p ʏ m
gripur	k r ɪː p ʏ r
gripurinn	k r ɪː p ʏ r ɪ n
grisja	k r ɪː s j a
grið	k r ɪː ð
griða	k r ɪː ð a
griðalega	k r ɪː ð a l ɛ ɣ a
griðasamningur	k r ɪː ð a s a m n i ŋ k ʏ r
griðkonan	k r ɪː ð k ɔ n a n
griðkonurnar	k r ɪː ð k ɔː n ʏ t n a r
griðungaskarðafoss	k r ɪː ð u ŋ k a s k a r ð a f ɔ s
griðungaskörð	k r ɪː ð u ŋ k a s k œ r ð
griðungatangavogur	k r ɪː ð u ŋ k a tʰ au ŋ k a v ɔː ɣ ʏ r
griðungatangi	k r ɪː ð u ŋ k a tʰ au ɲ c ɪ
griðungaás	k r ɪː ð u ŋ k a au s
griðunginn	k r ɪː ð u ɲ c ɪ n
griðungslækur	k r ɪː ð u ŋ s t l aiː k ʏ r
griðungur	k r ɪː ð u ŋ k ʏ r
griðungurinn	k r ɪː ð u ŋ k ʏ r ɪ n
grjóhólsás	k r j ouː h ou l s auː s
grjóni	k r j ouː n ɪ
grjót	k r j ouː t
grjóta	k r j ouː t a
grjótalda	k r j ouː t a l t a
grjótaskák	k r j ouː t a s k auː k
grjótaskál	k r j ouː t a s k auː l
grjótaxir	k r j ouː t a k s ɪ r
grjótbakki	k r j ouː t p a h c ɪ
grjótbringur	k r j ouː t p r i ŋ k ʏ r
grjótbrún	k r j ouː t p r u n
grjótbrúnalækur	k r j ouː t p r uː n a l aiː k ʏ r
grjótbrúnina	k r j ouː t p r uː n ɪ n a
grjótbyrgiskelda	k r j ouː t p ɪ r c ɪ s c ɛ l t a
grjótbyrgjum	k r j ouː t p ɪ r c ʏ m
grjótdalsgil	k r j ouː t a l s c ɪ l
grjótdalshorn	k r j ouː t a l s h ɔ t n̥
grjótdalsskarð	k r j ouː t a l s k a r ð
grjótdalsvarp	k r j ouː t a l s v a r̥ p
grjóteyrarmöl	k r j ouː t ei r a r m œː l
grjóteyrartunga	k r j ouː t ei r a r t u ŋ k a
grjóteyri	k r j ouː t ei r ɪ
grjótfit	k r j ouː t f ɪ t
grjótgarðsháls	k r j ouː t k a r ð s h au l s
grjótgarður	k r j ouː t k a r ð ʏ r
grjótgerði	k r j ouː t c ɛ r ð ɪ
grjótgil	k r j ouː t c ɪ l
grjóthleðsla	k r j ouː t l̥ ɛ ð s t l a
grjóthleðslur	k r j ouː t l̥ ɛ ð s t l ʏ r
grjóthryggur	k r j ouː t r̥ ɪ k ʏ r
grjóthrúgu	k r j ouː t r̥ uː ʏ
grjóthylur	k r j ouː t h ɪː l ʏ r
grjótháls	k r j ouː t h au l s
grjóthæð	k r j ouː t h aiː ð
grjóthólatindur	k r j ouː t h ou l a t ɪ n t ʏ r
grjóthólmatöpp	k r j ouː t h ou l m a t œ h p
grjóthólsmýri	k r j ouː t h ou l s m iː r ɪ
grjóthólstorfa	k r j ouː t h ou l s t ɔ r v a
grjóthöfði	k r j ouː t h œ v ð ɪ
grjóthörð	k r j ouː t h œ r ð
grjóthúsaklettur	k r j ouː t h u s a k l ɛ h t ʏ r
grjóthúsamýri	k r j ouː t h u s a m iː r ɪ
grjóti	k r j ouː t ɪ
grjótinu	k r j ouː t ɪ n ʏ
grjótið	k r j ouː t ɪ ð
grjótkrabbans	k r j ouː t kʰ r a p a n s
grjótkrabbi	k r j ouː t kʰ r a p ɪ
grjótkvíar	k r j ouː t kʰ v iː j a r
grjótkíll	k r j ouː t c i t l̥
grjótlaut	k r j ouː t l œy t
grjótlautarflötur	k r j ouː t l œy t a r f l œ t ʏ r
grjótlægðir	k r j ouː t l ai ɣ ð ɪ r
grjótlækjargil	k r j ouː t l aiː c a r c ɪ l
grjótlækur	k r j ouː t l aiː k ʏ r
grjótmanir	k r j ouː t m a n ɪ r
grjótmúli	k r j ouː t m uː l ɪ
grjótmýri	k r j ouː t m iː r ɪ
grjótnef	k r j ouː t n ɛː v
grjótnesklettur	k r j ouː t n ɛ s k l ɛ h t ʏ r
grjótpollseyri	k r j ouː t pʰ ɔ l s ei r ɪ
grjótpollsnef	k r j ouː t pʰ ɔ l s t n ɛː v
grjótpollur	k r j ouː t pʰ ɔ t l ʏ r
grjótseil	k r j ouː t s ei l
grjótselsbrún	k r j ouː t s ɛ l s p r u n
grjótsker	k r j ouː t s c ɛ r
grjótskák	k r j ouː t s k auː k
grjótskálarhnjúkur	k r j ouː t s k au l a r n̥ j uː k ʏ r
grjótstallur	k r j ouː t s t a t l ʏ r
grjótstykki	k r j ouː t s t ɪ h c ɪ
grjótsviðningur	k r j ouː t s v ɪ ð n i ŋ k ʏ r
grjótsökkva	k r j ouː t s œ h k v a
grjótufsaflói	k r j ouː t ʏ f s a f l ouː ɪ
grjótufsir	k r j ouː t ʏ f s ɪ r
grjótvað	k r j ouː t v a ð
grjótvegginn	k r j ouː t v ɛ c ɪ n
grjótvöllur	k r j ouː t v œ t l ʏ r
grjótá	k r j ouː t au
grjótárdalsdrög	k r j ouː t au r t a l s t r œː ɣ
grjótárdalur	k r j ouː t au r t aː l ʏ r
grjótáreyrar	k r j ouː t au r ei r a r
grjótárfoss	k r j ouː t au r̥ f ɔ s
grjótárhvolf	k r j ouː t au r kʰ v ɔ l v
grjótárhöfuð	k r j ouː t au r h œː v ʏ ð
grjótárkelda	k r j ouː t au r c ɛ l t a
grjótárkriki	k r j ouː t au r k r ɪː c ɪ
grjótárrif	k r j ouː t au r ɪː v
grjótárrétt	k r j ouː t au r j ɛ h t
grjótártindur	k r j ouː t au r̥ t ɪ n t ʏ r
grjótártjarnir	k r j ouː t au r t j a t n ɪ r
grjótártjörn	k r j ouː t au r t j œ r t n̥
grjótártunga	k r j ouː t au r̥ t u ŋ k a
grjótártungur	k r j ouː t au r̥ t u ŋ k ʏ r
grjótáröxl	k r j ouː t au r œ k s t l̥
groddalegir	k r ɔ t a l ei j ɪ r
